Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,ust_id
28,Dielectric Band Pass Filter for 1575MHz,DBP.1575.W.A.30,FL1,DBP.1575.W.A.30,SAW DBP.1575.W.A.30,1,https://eu.mouser.com/datasheet/2/398/DBP.1575.W.A.30-1371847.pdf,5fa0f56412875025b39778fc
29,1x05 2.54 mm pitch header,SM04B-GHS-TB,J4,SM04B-GHS-TB,JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal,1,,5c86273d1287500b4e0280be
30,1x07 2.54 mm pitch header,SM06B-GHS-TB,J3,SM06B-GHS-TB,JST_GH_SM06B-GHS-TB_1x06-1MP_P1.25mm_Horizontal,1,,5fa0f70212875025b3977932
31,1x08 2.54 mm pitch header,SM08B-GHS-TB,J5,SM08B-GHS-TB,JST_GH_SM08B-GHS-TB_1x08-1MP_P1.25mm_Horizontal,1,,5fa0f75012875025b3977948
32,"Zásuvka; kabel-pl.spoj; vidlice; GH; 1,25mm; PIN: 10; SMT; 50V; 1A",SM10B-GHS-TB,J1,SM10B-GHS-TB,JST_GH_SM10B-GHS-TB_1x10-1MP_P1.25mm_Horizontal,1,,5fa0f69e12875025b397791d
33,USB 2.0-only Type-C Receptacle connector,USBC_USB4105-GF-A,J2,USBC_USB4105-GF-A,USBC GCT_USB4105-GF-A,1,,5fa0f94612875025b397795e
34,Inductor,L,L2,5n6H,SMD-0805,1,~,5c70984412875079b91f8803
35,Inductor,L,L1,NL322522T-101K,L_1210_3225Metric,1,~,5c70984412875079b91f87fb
36,"NPN transistor, base/emitter/collector",Q_NPN_BEC,Q1,BC817-25,SOT-23,1,~,5c70984712875079b91f8aea
37,"NPN transistor, base/emitter/collector",Q_NPN_BEC,Q2,BC817-25,SOT-23,1,~,5c70984712875079b91f8aea
38,"NPN transistor, base/emitter/collector",Q_NPN_BEC,Q3,BC817-25,SOT-23,1,~,5c70984712875079b91f8aea
39,Resistor,R,R23,0R,SMD-0805,1,~,5c70984512875079b91f896b
40,Resistor,R,R1,22R,SMD-0805,1,~,5c70984512875079b91f896f
41,Resistor,R,R10,33R,SMD-0805,1,~,5c70984512875079b91f8970
42,Resistor,R,R11,33R,SMD-0805,1,~,5c70984512875079b91f8970
43,Resistor,R,R12,33R,SMD-0805,1,~,5c70984512875079b91f8970
44,Resistor,R,R14,33R,SMD-0805,1,~,5c70984512875079b91f8970
45,Resistor,R,R15,33R,SMD-0805,1,~,5c70984512875079b91f8970
46,Resistor,R,R16,33R,SMD-0805,1,~,5c70984512875079b91f8970
47,Resistor,R,R7,33R,SMD-0805,1,~,5c70984512875079b91f8970
48,Resistor,R,R8,33R,SMD-0805,1,~,5c70984512875079b91f8970
49,Resistor,R,R9,33R,SMD-0805,1,~,5c70984512875079b91f8970
50,Resistor,R,R20,100R,SMD-0805,1,~,5c70984512875079b91f8977
51,Resistor,R,R21,100R,SMD-0805,1,~,5c70984512875079b91f8977
52,Resistor,R,R22,100R,SMD-0805,1,~,5c70984512875079b91f8977
53,Resistor,R,R19,200R,SMD-0805,1,~,5c70984512875079b91f897d
54,Resistor,R,R4,200R,SMD-0805,1,~,5c70984512875079b91f897d
55,Resistor,R,R27,390R,SMD-0805,1,~,5fa12b6012875025b3977a16
56,Resistor,R,R17,1k,SMD-0805,1,~,5c70984512875079b91f898c
57,Resistor,R,R18,1k,SMD-0805,1,~,5c70984512875079b91f898c
58,Resistor,R,R24,1k,SMD-0805,1,~,5c70984512875079b91f898c
59,Resistor,R,R2,5k1,SMD-0805,1,~,5fa0fc3e12875025b3977997
60,Resistor,R,R3,5k1,SMD-0805,1,~,5fa0fc3e12875025b3977997
61,Resistor,R,R13,10k,SMD-0805,1,~,5c70984612875079b91f899f
62,Resistor,R,R25,10k,SMD-0805,1,~,5c70984612875079b91f899f
63,Resistor,R,R5,10k,SMD-0805,1,~,5c70984612875079b91f899f
64,Resistor,R,R6,10k,SMD-0805,1,~,5c70984612875079b91f899f
65,Resistor,R,R26,12k,SMD-0805,1,~,5c70984612875079b91f89a1
66,Resistor,R,R28,20k,SMD-0805,1,~,5c70984612875079b91f89a3
67,"1575MHz/1900MHz Variable-IP3, LNA pro GPS",MAX2656,U4,MAX2655,SOT-363_SC-70-6,1,https://datasheets.maximintegrated.com/en/ds/MAX2654-MAX2656.pdf,5fa0fa3612875025b397796f
68,"300mA Low-dropout Voltage Regulator, Vout 3.3V, Vin up to 5.5V, SOT-23",MIC5504-3.3YM5,U1,MIC5504-3.3YM5,SOT-23-5,1,http://ww1.microchip.com/downloads/en/DeviceDoc/MIC550X.pdf,5c7255e81287500b4e112ea2
69,"GNSS RTK Module NEO M8, VCC 2.7V to 3.6V",NEO-M8P,U3,NEO-M8P,ublox_NEO,1,https://www.u-blox.com/sites/default/files/NEO-M8P_DataSheet_%28UBX-15016656%29.pdf,5fa0faaf12875025b3977985
70,"Bidirectional ESD Protection Diode, SOT-23-6",USBLC6-2SC6,U2,USBLC6-2SC6,SOT-23-6,1,http://www2.st.com/resource/en/datasheet/CD00050750.pdf,5e82e0691287502a334a778c
